,GlobalEquity_VT,Duration_TLT,Dollar_DTWEXBGS,Trend_TSMOM,Commodities_DBC
2009-07-31,0.10136399122096362,0.0025776501465570867,-0.022033470953898293,-0.03484511313809252,0.018560640524065253
2009-08-31,0.02673179930587599,0.018825566701508478,0.0039001576614332567,0.009092273135637569,-0.04037516748548453
2009-09-30,0.05229307307287745,0.021328919221446085,-0.015107767685969664,-0.010959477172956783,-0.002234012845573896
2009-10-31,-0.025165952310953532,-0.0291655297112684,-0.006116490164791211,-0.019869720315103395,0.0693628136953075
2009-11-30,0.053189969619336974,0.00886595741066487,-0.013485106461082585,0.007554833072880185,0.04532170119956369
2009-12-31,0.0002953960416929302,-0.06976858102419503,0.01686189487554679,0.012904092572289,-0.0015857119011851717
2010-01-31,-0.05090460922809892,0.026908190937574128,0.009163470107326877,-0.041346174063276286,-0.07840842598010522
2010-02-28,0.020557970301273487,-0.0069289541830115375,-0.0011049040247942399,0.017499431050172293,0.041405895691609906
2010-03-31,0.0667127097605138,-0.023676668968766745,-0.008130454558072708,0.023475927925113133,-0.004616121586900723
2010-04-30,-0.004517589141454059,0.02943553518629005,-0.0006071129090075011,0.0014416832589790596,0.03911274445465285
2010-05-31,-0.09880673711595422,0.047410256863088085,0.037309502241973824,-0.07124897700881389,-0.10146941181423941
2010-06-30,-0.027938245878669887,0.05437996538885437,-0.0032479736507100565,0.01023824715790081,-0.017759242772128814
2010-07-31,0.09182543902773466,-0.012463146999133534,-0.028273818825044095,0.011619456107648474,0.06115828642305132
2010-08-31,-0.039902594419088944,0.08044958375963307,0.015449301184721431,0.013804542520883367,-0.030120481927710774
2010-09-30,0.10056054848887985,-0.028171086622412633,-0.035672357802543075,0.030686645998367207,0.08602947992954468
2010-10-31,0.037989581491348456,-0.048169832377170985,-0.013663011883973786,0.011956904504766191,0.04434485702091351
2010-11-30,-0.02652010232693247,-0.020067461077315274,0.0228196262771454,-0.018434800403715007,-0.004332011933466884
2010-12-31,0.056286792972470634,-0.0435076042483985,-0.017740755772690853,0.023489731785848456,0.09892049419201254
2011-01-31,0.013935664001390347,-0.030901670645141377,-0.00906594074326128,0.006914536432657825,0.03555821163112105
2011-02-28,0.02921866587378763,0.016579181646145358,-0.008416393515731313,0.01569679179833211,0.041731289449954856
2011-03-31,-0.0005647644255667439,0.00033498112142105185,-0.010222725437968205,0.00914597460969685,0.026590956304964886
2011-04-30,0.043506226335498166,0.02332441944089636,-0.027604257189886572,0.03499152506703404,0.045531197301855064
2011-05-31,-0.022716553412474028,0.03428346147493233,0.012337631235550539,-0.013120100148111769,-0.05170967741935484
2011-06-30,-0.013377832479610219,-0.02323353004720241,-0.00204717503692764,-0.019305400377930965,-0.04265741402183887
2011-07-31,-0.02145561741191937,0.044074050080361804,-0.008677291260496767,-0.0028159437896733974,0.04558860107309082
2011-08-31,-0.07251731735120559,0.09668455233626627,0.012197853215161425,-0.04634394962051319,-0.00397607557941948
2011-09-30,-0.10728289479312525,0.13240078293281887,0.06022433012691608,-0.04532681691804141,-0.1462008256849432
2011-10-31,0.11387957195336207,-0.0387391256246854,-0.030375066032752196,-0.026626797680193548,0.07648657289002547
2011-11-30,-0.013363923143102752,0.020100042323694556,0.025418893272036724,0.0012966641434262183,-0.00285841562105571
2011-12-31,-0.010295314498314334,0.03392696833677067,0.01042277048477791,0.0012088967391533922,-0.028963925393693524
2012-01-31,0.05459650276947303,-0.002988503589254954,-0.020258325020394596,-0.028681397963823713,0.03688226047617227
2012-02-29,0.04769861426725486,-0.025570806348922503,-0.008890847209062414,-0.03392516586553529,0.05354039563690138
